epoch,accuracy,loss,val_accuracy,val_loss
0,0.5010526776313782,1.3937535285949707,0.5374045968055725,1.285109043121338
1,0.533419668674469,1.3019102811813354,0.5421243906021118,1.2667127847671509
2,0.5449318289756775,1.267903208732605,0.5457930564880371,1.2569069862365723
3,0.5536524057388306,1.242898941040039,0.5483143925666809,1.2516008615493774
4,0.5611806511878967,1.2223520278930664,0.5483350157737732,1.2505526542663574
5,0.5682905316352844,1.204588770866394,0.5496128797531128,1.2497378587722778
6,0.5739370584487915,1.1893571615219116,0.5498258471488953,1.249008059501648
7,0.5795897245407104,1.1744736433029175,0.5495510101318359,1.252256155014038
8,0.5843576192855835,1.1627675294876099,0.550183117389679,1.2570959329605103
9,0.5888698101043701,1.150650978088379,0.5485892295837402,1.2594014406204224
10,0.5931995511054993,1.14066481590271,0.5498327016830444,1.2613955736160278
11,0.596562922000885,1.1309372186660767,0.5487953424453735,1.2645728588104248
12,0.6003178358078003,1.1222901344299316,0.5484243035316467,1.2721575498580933
13,0.6029956936836243,1.1146724224090576,0.547648012638092,1.273021936416626
14,0.6062377095222473,1.1066040992736816,0.5476136207580566,1.269471287727356
